-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2015 through 12/31/2024 in LST
Location: Latitude  23.25   Longitude 77.41 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 475.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2015,1.15,0.31,1.66,0.22,0.3,6.49,18.43,12.28,1.55,0.36,0.0,0.0,3.61
PRECTOTCORR,2016,0.52,0.01,0.19,0.0,0.59,4.98,23.78,17.33,2.26,1.02,0.0,0.0,4.27
PRECTOTCORR,2017,0.07,0.19,0.11,0.0,0.29,5.31,11.69,4.88,5.65,0.26,0.0,0.0,2.38
PRECTOTCORR,2018,0.0,0.34,0.07,0.09,0.03,4.4,15.87,8.67,4.51,0.05,0.0,0.0,2.86
PRECTOTCORR,2019,0.02,0.12,0.19,0.44,0.14,4.86,13.25,21.42,18.15,1.87,0.13,0.51,5.12
PRECTOTCORR,2020,0.31,0.01,0.5,0.06,0.3,8.39,3.84,19.15,4.59,0.28,0.35,0.38,3.2
PRECTOTCORR,2021,0.11,0.05,0.98,0.02,1.72,7.31,7.05,8.38,8.48,1.72,0.03,0.29,3.03
PRECTOTCORR,2022,1.48,0.01,0.02,0.0,0.29,4.7,17.02,20.21,7.63,4.19,0.0,0.29,4.71
PRECTOTCORR,2023,0.43,0.0,0.78,1.41,1.29,5.86,10.54,6.6,8.22,0.05,0.59,0.22,3.01
PRECTOTCORR,2024,0.42,0.25,0.2,1.51,0.31,5.56,16.79,13.92,7.52,0.64,0.0,0.94,4.03
QV2M,2015,6.52,6.45,8.11,7.53,7.75,15.3,18.61,19.28,16.81,12.32,9.12,3.97,11.0
QV2M,2016,4.74,4.41,5.45,5.85,9.56,15.13,20.02,19.14,18.15,13.36,7.17,5.65,10.74
QV2M,2017,5.05,4.36,4.48,4.86,8.21,16.58,18.38,18.96,17.65,12.77,7.61,5.08,10.37
QV2M,2018,3.46,5.16,4.68,5.46,6.65,15.44,19.36,19.07,16.83,12.35,8.16,4.87,10.15
QV2M,2019,3.42,4.5,4.74,5.95,7.54,13.04,19.72,19.96,19.87,14.74,12.17,8.85,11.25
QV2M,2020,7.45,6.32,7.06,6.47,7.96,17.5,19.42,19.74,18.96,14.17,8.95,7.07,11.77
QV2M,2021,6.29,4.26,6.36,4.86,10.84,17.68,18.59,19.07,19.4,14.86,9.51,7.64,11.66
QV2M,2022,6.92,5.73,5.22,4.73,8.7,14.32,20.07,19.36,18.87,13.84,9.68,8.37,11.36
QV2M,2023,6.86,5.06,7.37,7.6,10.43,14.47,20.32,18.65,18.81,13.08,9.72,8.13,11.75
QV2M,2024,6.8,5.95,5.55,9.25,9.09,15.47,20.61,19.7,19.52,15.47,9.84,7.45,12.08
T2M,2015,14.8,20.53,23.55,30.41,35.64,31.61,27.05,25.71,25.33,25.26,22.98,18.52,25.13
T2M,2016,18.61,21.78,27.3,32.41,35.18,33.21,26.24,25.05,25.3,23.24,19.93,17.26,25.45
T2M,2017,17.85,21.88,26.24,32.05,35.85,31.6,26.8,26.29,25.95,24.62,21.26,18.94,25.79
T2M,2018,18.55,22.53,27.46,32.22,35.89,32.37,26.73,25.39,24.47,24.04,20.94,16.53,25.6
T2M,2019,16.4,20.28,25.11,31.9,34.74,34.94,27.51,25.75,25.59,23.27,20.48,15.3,25.11
T2M,2020,14.77,18.3,24.29,31.13,34.98,29.17,27.7,26.38,26.28,24.37,19.78,17.36,24.55
T2M,2021,18.54,22.01,26.87,31.37,32.95,29.45,28.09,25.98,26.03,24.01,18.85,16.76,25.09
T2M,2022,15.06,19.07,27.87,33.47,35.29,32.26,26.97,25.63,25.75,22.51,18.78,16.96,24.99
T2M,2023,15.41,20.68,25.2,29.1,31.82,31.75,27.48,25.72,26.02,23.33,20.36,17.66,24.55
T2M,2024,17.25,21.11,25.74,30.01,35.24,33.31,27.72,25.99,25.87,24.34,19.31,16.21,25.18
